46,8;34,4
46,8;31,3
46,8;28,2
43,7;28,2
43,7;31,3
43,7;34,4
40,6;34,4
40,7;31,3
40,7;28,2
37,5;28,2
37,5;31,3
37,5;34,4
34,4;34,4
31,3;34,4
28,2;34,4
34,4;28,2
31,3;28,2
28,2;28,2
25,1;28,2
22;28,2
18,9;28,2
15,8;28,2
15,8;34,4
18,9;34,4
22;34,4
9,6;34,4
6,5;34,4
3,4;34,4
3,4;31,3
6,5;31,3
9,6;31,3
9,6;28,2
6,5;28,2
3,4;28,2
9,6;22
6,5;18,9
9,6;18,9
12,7;18,9
15,8;18,9
18,9;18,9
5;22,5
5;15
20,5;22,5
20,5;15
3,4;9,6
3,4;6,5
3,4;3,4
6,5;3,4
6,5;6,5
6,5;9,6
9,6;9,6
9,6;6,5
9,6;3,4
12,7;3,4
12,7;6,5
12,7;9,6
15,8;9,6
15,7;6,5
15,7;3,4
18,9;3,4
18,9;6,5
18,9;9,6
22;9,6
22;6,5
22;3,4
22;18,9
25,1;18,9
28,2;18,9
31,3;18,9
26;23,5
23,5;23,5
26;15,8
46,8;25,1
46,8;22
46,8;18,9
46,8;15,8
46,8;12,7
46,8;9,6
46,8;6,5
46,8;3,4
43,7;3,4
43,7;6,5
43,7;9,6
43,7;12,7
43,7;15,8
43,7;18,9
43,7;22
43,7;25,1
40,6;25,1
40,6;22
40,6;18,9
40,6;15,8
40,6;12,7
40,6;9,6
40,6;6,5
40,6;3,4
37,5;3,4
37,5;6,5
37,5;9,6
37,5;12,7
37,5;15,8
37,5;18,9
37,5;22
37,5;25,1
34,4;25,1
34,4;22
34,4;18,9
34,4;15,8
34,4;12,7
34,4;9,6
34,4;6,5
34,4;3,4
31,3;3,4
31,3;6,5
31,3;9,6
31,3;12,7
31,3;15,8
28,2;9,6
28,2;6,5
28,2;3,4
31,3;22
31,3;25,1
3,4;18,9
9,6;15,8
12,7;15,8
15,8;15,8
12,7;22
15,8;22
