-110;-110;-110;-110;-60;-67;-78;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-81;-83;-110;-110;-84;-110;-110;-110;-110;-72;-110;-110;-110;-84;-69;-110;-110;-110;-92;-110;-98;-110;-86;-110;-99;-110;-110;-110;-92;-110;-110;-90;-83;-88;-110;-110;-82;-68
-110;-110;-82;-73;-47;-68;-110;-84;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-83;-79;-110;-110;-110;-110;-110;-88;-110;-72;-110;-110;-110;-110;-77;-110;-110;-110;-110;-91;-96;-84;-110;-110;-91;-110;-110;-110;-110;-110;-110;-110;-87;-87;-110;-110;-76;-72
-110;-82;-75;-69;-43;-110;-110;-110;-110;-110;-110;-110;-91;-110;-110;-110;-110;-110;-92;-110;-81;-91;-110;-88;-110;-110;-86;-97;-76;-110;-85;-110;-82;-72;-110;-110;-83;-110;-85;-93;-76;-91;-90;-110;-110;-110;-89;-110;-110;-110;-94;-82;-110;-110;-110;-75;-68
-80;-110;-74;-65;-52;-70;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-84;-106;-110;-96;-92;-110;-110;-91;-110;-110;-81;-110;-92;-110;-110;-110;-110;-110;-77;-110;-110;-110;-73;-110;-110;-93;-110;-110;-110;-110;-110;-91;-110;-81;-88;-110;-110;-76;-75
-80;-110;-73;-110;-61;-70;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-86;-72;-110;-110;-110;-110;-110;-78;-110;-67;-110;-110;-110;-82;-68;-110;-110;-84;-110;-91;-110;-75;-110;-85;-88;-110;-110;-110;-110;-110;-110;-110;-77;-89;-110;-110;-77;-72
-110;-110;-74;-110;-56;-74;-74;-78;-110;-110;-110;-81;-110;-110;-110;-96;-110;-110;-84;-80;-77;-110;-98;-88;-110;-100;-89;-110;-69;-110;-110;-97;-110;-110;-110;-110;-81;-84;-110;-110;-80;-110;-99;-93;-110;-110;-91;-88;-110;-110;-85;-83;-82;-110;-110;-80;-86
-110;-85;-110;-64;-48;-64;-74;-74;-110;-110;-110;-110;-110;-110;-110;-97;-88;-110;-81;-110;-71;-92;-110;-110;-110;-110;-80;-110;-74;-110;-82;-110;-84;-71;-110;-110;-75;-110;-110;-93;-110;-92;-93;-80;-110;-110;-110;-110;-110;-86;-91;-110;-86;-110;-110;-76;-75
-110;-75;-110;-63;-59;-61;-110;-70;-110;-110;-110;-110;-110;-110;-110;-110;-93;-110;-110;-96;-74;-82;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-70;-110;-110;-71;-110;-83;-81;-70;-110;-91;-110;-110;-110;-90;-110;-110;-81;-86;-82;-82;-95;-110;-71;-75
-110;-80;-110;-65;-60;-60;-110;-79;-110;-110;-110;-83;-110;-110;-110;-110;-110;-110;-110;-84;-77;-99;-110;-110;-110;-110;-110;-110;-76;-110;-110;-110;-87;-73;-110;-110;-80;-110;-110;-88;-73;-110;-110;-110;-110;-110;-100;-86;-110;-83;-90;-110;-83;-101;-110;-110;-65
-81;-110;-70;-58;-61;-76;-84;-72;-110;-110;-110;-80;-110;-110;-110;-110;-88;-110;-110;-86;-86;-110;-110;-86;-110;-110;-83;-90;-80;-110;-85;-110;-77;-78;-110;-110;-72;-88;-110;-84;-66;-110;-110;-110;-110;-110;-110;-93;-110;-110;-110;-73;-83;-110;-110;-77;-110
-110;-110;-74;-110;-57;-110;-75;-77;-110;-110;-110;-75;-110;-110;-92;-110;-110;-110;-110;-84;-71;-91;-95;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-74;-110;-110;-110;-96;-88;-110;-63;-110;-110;-88;-110;-99;-89;-96;-100;-90;-110;-74;-83;-110;-110;-110;-110
-110;-110;-110;-71;-60;-75;-84;-110;-110;-110;-110;-92;-110;-110;-97;-110;-110;-110;-110;-92;-70;-97;-110;-87;-110;-110;-76;-110;-110;-110;-95;-110;-85;-70;-110;-110;-110;-89;-87;-87;-110;-110;-99;-91;-110;-110;-110;-110;-110;-110;-94;-110;-110;-110;-110;-70;-81
-110;-110;-76;-59;-67;-83;-110;-95;-110;-110;-110;-81;-110;-110;-110;-110;-95;-110;-110;-110;-110;-90;-96;-110;-110;-110;-110;-110;-110;-110;-110;-110;-87;-79;-110;-110;-110;-110;-110;-110;-75;-93;-110;-110;-110;-96;-110;-110;-110;-91;-110;-78;-90;-110;-110;-83;-76
-75;-110;-69;-63;-68;-80;-79;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-80;-85;-90;-110;-110;-110;-68;-110;-110;-110;-86;-82;-110;-79;-110;-103;-110;-110;-71;-110;-80;-110;-110;-110;-110;-95;-92;-110;-110;-110;-110;-110;-110;-110;-110;-82;-110
